Forcing tensorflow/CPU backend.
iter: 4720; timecost: 131.1285; loss: 0.0039
iter: 4740; timecost: 131.9266; loss: 0.0040
iter: 4760; timecost: 129.7613; loss: 0.0032
iter: 4780; timecost: 130.3181; loss: 0.0033
iter: 4800; timecost: 131.2910; loss: 0.0034
iter: 4820; timecost: 129.0422; loss: 0.0035
iter: 4840; timecost: 130.0103; loss: 0.0045
iter: 4860; timecost: 131.1880; loss: 0.0037
iter: 4880; timecost: 129.2560; loss: 0.0036
iter: 4900; timecost: 131.7715; loss: 0.0046
iter: 4920; timecost: 131.1833; loss: 0.0034
iter: 4940; timecost: 129.3647; loss: 0.0031
iter: 4960; timecost: 130.4015; loss: 0.0037
iter: 4980; timecost: 129.9509; loss: 0.0032
iter: 5000; timecost: 131.4655; loss: 0.0030
iter: 5020; timecost: 131.4441; loss: 0.0031
iter: 5040; timecost: 128.5697; loss: 0.0035
iter: 5060; timecost: 128.9080; loss: 0.0029
iter: 5080; timecost: 129.3426; loss: 0.0033
iter: 5100; timecost: 129.4315; loss: 0.0036
iter: 5120; timecost: 129.1049; loss: 0.0034
iter: 5140; timecost: 130.0599; loss: 0.0034
iter: 5160; timecost: 129.7324; loss: 0.0030
iter: 5180; timecost: 128.5345; loss: 0.0035
iter: 5200; timecost: 129.0001; loss: 0.0032
iter: 5220; timecost: 130.5055; loss: 0.0033
iter: 5240; timecost: 128.6295; loss: 0.0031
iter: 5260; timecost: 130.4600; loss: 0.0027
iter: 5280; timecost: 128.4955; loss: 0.0035
iter: 5300; timecost: 131.0735; loss: 0.0037
iter: 5320; timecost: 128.8496; loss: 0.0034
iter: 5340; timecost: 127.8171; loss: 0.0044
iter: 5360; timecost: 128.9061; loss: 0.0037
iter: 5380; timecost: 129.6360; loss: 0.0032
iter: 5400; timecost: 130.0191; loss: 0.0030
iter: 5420; timecost: 130.6567; loss: 0.0031
iter: 5440; timecost: 128.1896; loss: 0.0033
iter: 5460; timecost: 128.5012; loss: 0.0033
iter: 5480; timecost: 129.8362; loss: 0.0027
iter: 5500; timecost: 131.7577; loss: 0.0028
iter: 5520; timecost: 129.6995; loss: 0.0032
iter: 5540; timecost: 129.2767; loss: 0.0035
iter: 5560; timecost: 129.9722; loss: 0.0034
iter: 5580; timecost: 133.7773; loss: 0.0030
iter: 5600; timecost: 132.3275; loss: 0.0035
iter: 5620; timecost: 134.0642; loss: 0.0033
iter: 5640; timecost: 130.9760; loss: 0.0028
iter: 5660; timecost: 130.6936; loss: 0.0029
iter: 5680; timecost: 132.2029; loss: 0.0034
iter: 5700; timecost: 131.0093; loss: 0.0031
iter: 5720; timecost: 128.9312; loss: 0.0033
iter: 5740; timecost: 130.9750; loss: 0.0029
iter: 5760; timecost: 129.0076; loss: 0.0027
iter: 5780; timecost: 130.2796; loss: 0.0029
iter: 5800; timecost: 130.8940; loss: 0.0028
iter: 5820; timecost: 128.8709; loss: 0.0029
iter: 5840; timecost: 130.0014; loss: 0.0036
iter: 5860; timecost: 129.7606; loss: 0.0033
iter: 5880; timecost: 131.3625; loss: 0.0029
iter: 5900; timecost: 130.2206; loss: 0.0032
iter: 5920; timecost: 129.1746; loss: 0.0030
iter: 5940; timecost: 129.7202; loss: 0.0027
iter: 5960; timecost: 131.0563; loss: 0.0032
iter: 5980; timecost: 127.9834; loss: 0.0028
iter: 6000; timecost: 130.7321; loss: 0.0035
iter: 6020; timecost: 129.5039; loss: 0.0029
iter: 6040; timecost: 128.8516; loss: 0.0035
iter: 6060; timecost: 129.8546; loss: 0.0031
iter: 6080; timecost: 129.8456; loss: 0.0028
iter: 6100; timecost: 130.1235; loss: 0.0032
iter: 6120; timecost: 129.8730; loss: 0.0026
iter: 6140; timecost: 130.8879; loss: 0.0031
iter: 6160; timecost: 131.0686; loss: 0.0027
iter: 6180; timecost: 129.5966; loss: 0.0025
iter: 6200; timecost: 130.6522; loss: 0.0028
iter: 6220; timecost: 131.0939; loss: 0.0027
iter: 6240; timecost: 130.6682; loss: 0.0028
iter: 6260; timecost: 128.7743; loss: 0.0024
iter: 6280; timecost: 132.1323; loss: 0.0028
iter: 6300; timecost: 128.6411; loss: 0.0032
iter: 6320; timecost: 131.1869; loss: 0.0027
iter: 6340; timecost: 130.5923; loss: 0.0025
iter: 6360; timecost: 130.8186; loss: 0.0024
iter: 6380; timecost: 131.4367; loss: 0.0032
iter: 6400; timecost: 129.1812; loss: 0.0028
iter: 6420; timecost: 130.6808; loss: 0.0032
iter: 6440; timecost: 130.4449; loss: 0.0027
iter: 6460; timecost: 130.7258; loss: 0.0027
iter: 6480; timecost: 130.4849; loss: 0.0027
iter: 6500; timecost: 130.8039; loss: 0.0030
iter: 6520; timecost: 129.3892; loss: 0.0031
iter: 6540; timecost: 130.7349; loss: 0.0025
iter: 6560; timecost: 130.3933; loss: 0.0028
iter: 6580; timecost: 132.1667; loss: 0.0026
iter: 6600; timecost: 131.5456; loss: 0.0031
iter: 6620; timecost: 130.7402; loss: 0.0031
iter: 6640; timecost: 131.6783; loss: 0.0027
iter: 6660; timecost: 130.3983; loss: 0.0026
iter: 6680; timecost: 132.1627; loss: 0.0031
iter: 6700; timecost: 131.2483; loss: 0.0028
iter: 6720; timecost: 129.5761; loss: 0.0028
iter: 6740; timecost: 132.8959; loss: 0.0026
iter: 6760; timecost: 132.0857; loss: 0.0031
iter: 6780; timecost: 132.4188; loss: 0.0025
iter: 6800; timecost: 133.4090; loss: 0.0026
iter: 6820; timecost: 133.9988; loss: 0.0027
iter: 6840; timecost: 131.7067; loss: 0.0025
iter: 6860; timecost: 133.0327; loss: 0.0024
iter: 6880; timecost: 132.0117; loss: 0.0027
iter: 6900; timecost: 132.7476; loss: 0.0025
