with cuda device
with update rate: 0.1
step: 3560; accuracy: 0.5776; test_accuracy: 0.5815, loss: 14.6955; beta: 59.1334, amino: 14.6363
step: 3580; accuracy: 0.5884; test_accuracy: 0.5915, loss: 14.0800; beta: 58.8454, amino: 14.0212
step: 3600; accuracy: 0.5773; test_accuracy: 0.5644, loss: 14.5414; beta: 58.3003, amino: 14.4831
step: 3620; accuracy: 0.5864; test_accuracy: 0.5985, loss: 14.0214; beta: 58.1182, amino: 13.9633
step: 3640; accuracy: 0.5869; test_accuracy: 0.5769, loss: 14.1020; beta: 58.4116, amino: 14.0436
step: 3660; accuracy: 0.5779; test_accuracy: 0.5975, loss: 14.6878; beta: 58.7185, amino: 14.6291
step: 3680; accuracy: 0.5864; test_accuracy: 0.5808, loss: 14.2730; beta: 58.9932, amino: 14.2140
step: 3700; accuracy: 0.5779; test_accuracy: 0.5958, loss: 14.5198; beta: 59.0060, amino: 14.4608
step: 3720; accuracy: 0.5873; test_accuracy: 0.5793, loss: 14.1530; beta: 58.6039, amino: 14.0944
step: 3740; accuracy: 0.5744; test_accuracy: 0.6057, loss: 14.7233; beta: 58.5273, amino: 14.6648
step: 3760; accuracy: 0.5826; test_accuracy: 0.5667, loss: 14.3019; beta: 58.1787, amino: 14.2438
step: 3780; accuracy: 0.5844; test_accuracy: 0.6003, loss: 14.3035; beta: 58.3377, amino: 14.2451
step: 3800; accuracy: 0.5852; test_accuracy: 0.5773, loss: 14.0955; beta: 58.6831, amino: 14.0368
step: 3820; accuracy: 0.5887; test_accuracy: 0.5845, loss: 14.0554; beta: 59.1784, amino: 13.9962
step: 3840; accuracy: 0.5744; test_accuracy: 0.5937, loss: 14.5119; beta: 59.2404, amino: 14.4527
step: 3860; accuracy: 0.5883; test_accuracy: 0.5846, loss: 14.0457; beta: 58.9246, amino: 13.9868
step: 3880; accuracy: 0.5901; test_accuracy: 0.5637, loss: 14.0010; beta: 59.0353, amino: 13.9419
step: 3900; accuracy: 0.5940; test_accuracy: 0.6166, loss: 14.0521; beta: 59.1807, amino: 13.9929
step: 3920; accuracy: 0.5951; test_accuracy: 0.5927, loss: 13.7994; beta: 58.8460, amino: 13.7405
step: 3940; accuracy: 0.5850; test_accuracy: 0.5826, loss: 14.2517; beta: 58.8643, amino: 14.1928
step: 3960; accuracy: 0.6006; test_accuracy: 0.6216, loss: 13.5291; beta: 59.3385, amino: 13.4697
